Source,Target,Relation
信息检索,文档,从中找到符合用户需要的信息
信息检索,图书馆参考咨询和文摘索引,起源
信息检索,精确匹配模型,用于内部文本库
信息检索,文档相关匹配模型,用于网络搜索
信息检索,搜索引擎,应用
信息检索,邮件搜索,应用
信息检索,电脑文件搜索,应用
信息检索,法律知识检索,应用
IR系统,indexing,关键技术
IR系统,relevance,关键技术
信息抽取,信息检索系统和Web搜索引擎,结合使用
信息抽取,语义Web,促进实现
信息抽取,关系抽取,子任务
信息抽取,事件抽取,子任务
信息抽取,命名实体识别,子任务
中国农工民主党中央常务委员会第一次会议,蒋正华,会议召集者
中国农工民主党中央常务委员会第一次会议,北京,会议地点
中国农工民主党中央常务委员会第一次会议,1998年3月9日,会议时间
问答系统,Question-Answering,核心
问答系统,人机对话系统,构成
意见/观点挖掘,产品用户意见调查,应用
意见/观点挖掘,舆情监督,应用
情感分析,观点挖掘,子任务
文本自动校对,排版,应用
文本自动校对,印刷,应用
文本自动校对,书籍编撰,应用
自然语言处理,语言学,相关学科
自然语言处理,心理学,相关学科
自然语言处理,逻辑学,相关学科
自然语言处理,认知科学,相关学科
自然语言处理,计算机科学,相关学科
自然语言处理,统计学,相关学科
自然语言处理,背景知识,相关学科
自然语言处理,常识,相关学科
自然语言处理,人工智能,相关学科
自然语言处理,国际象棋,达特茅斯会议目标
自然语言处理,机器翻译,达特茅斯会议目标
自然语言处理,统计学习,主流研究方法
自然语言处理,神经网络,主流研究方法
自然语言处理,多模态,研究趋势
自然语言处理,新领域,研究趋势
自然语言处理,数据受限条件,研究趋势
自然语言处理,个性化需求,研究趋势
自然语言处理,大模型,研究趋势
